record_id,source_id,prepolymer_record_id,example_id,substrate,cure_temp_c,relative_humidity_pct,stress_1h_psi,failure_1h,stress_24h_psi,failure_24h,stress_168h_psi,failure_168h,test_standard,crosshead_speed_in_min,replicates,evidence_locator,notes
RESINATE17_LS_1_Al,PAT_US20170066950A1,RESINATE17_PRE_1,1,Al,25,50,80,CF,481,CF,596,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_1_PC,PAT_US20170066950A1,RESINATE17_PRE_1,1,PC,25,50,106,CF,790,CF,1002,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_1_PE,PAT_US20170066950A1,RESINATE17_PRE_1,1,PE,25,50,48,CF,19,AF,18,AF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_1_PVC,PAT_US20170066950A1,RESINATE17_PRE_1,1,PVC,25,50,112,CF,876,CF,1099,SF|CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_2_Al,PAT_US20170066950A1,RESINATE17_PRE_2,2,Al,25,50,21,CF,272,CF,514,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_2_PC,PAT_US20170066950A1,RESINATE17_PRE_2,2,PC,25,50,74,CF,760,CF,737,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_2_PE,PAT_US20170066950A1,RESINATE17_PRE_2,2,PE,25,50,28,CF,85,CF,72,AF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_2_PVC,PAT_US20170066950A1,RESINATE17_PRE_2,2,PVC,25,50,48,CF,840,SF|CF,870,SF|CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_3_Al,PAT_US20170066950A1,RESINATE17_PRE_3,3,Al,25,50,31,CF,81,CF,269,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_3_PC,PAT_US20170066950A1,RESINATE17_PRE_3,3,PC,25,50,38,CF,385,CF,441,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_3_PE,PAT_US20170066950A1,RESINATE17_PRE_3,3,PE,25,50,38,CF,76,CF,75,CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_3_PVC,PAT_US20170066950A1,RESINATE17_PRE_3,3,PVC,25,50,35,CF,528,CF,1085,SF|CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_5_Al,PAT_US20170066950A1,RESINATE17_PRE_5,5,Al,25,50,145,AF,279,AF,394,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_5_PC,PAT_US20170066950A1,RESINATE17_PRE_5,5,PC,25,50,411,CF,543,AF,857,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_5_PE,PAT_US20170066950A1,RESINATE17_PRE_5,5,PE,25,50,39,AF,27,AF,24,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_5_PVC,PAT_US20170066950A1,RESINATE17_PRE_5,5,PVC,25,50,389,CF,1062,AF|CF,1053,AF|SF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_6_Al,PAT_US20170066950A1,RESINATE17_PRE_6,6,Al,25,50,48,N/A,626,CF,793,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_6_PC,PAT_US20170066950A1,RESINATE17_PRE_6,6,PC,25,50,51,N/A,808,AF,965,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_6_PE,PAT_US20170066950A1,RESINATE17_PRE_6,6,PE,25,50,49,N/A,26,AF,25,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_6_PVC,PAT_US20170066950A1,RESINATE17_PRE_6,6,PVC,25,50,43,N/A,1149,SF,1146,SF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
