record_id,source_id,sample_id,reported_nco_pct,nco_semantics,melt_viscosity_cps,viscosity_temperature_c,viscosity_method_id,thermal_stability_pct_rise_per_h,open_time_min,open_time_method_id,evidence_locator,notes
US2003_PROP_4A,PAT_US20030022973A1,4A,1.7,free_NCO_label_explicit,15000,120,M10_VISC120,6.7,9.0,M10_OPEN,Table 9,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_5A,PAT_US20030022973A1,5A,3.1,free_NCO_label_explicit,7900,120,M10_VISC120,4.4,17.0,M10_OPEN,Table 9,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_6A,PAT_US20030022973A1,6A,3.5,free_NCO_label_explicit,7900,120,M10_VISC120,7.9,35.0,M10_OPEN,Table 9,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_7A,PAT_US20030022973A1,7A,3.3,free_NCO_label_explicit,4400,120,M10_VISC120,2.8,40.0,M10_OPEN,Table 9,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_4B,PAT_US20030022973A1,4B,2.2,free_NCO_label_explicit,37000,120,M10_VISC120,6.3,9.0,M10_OPEN,Table 10,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_5B,PAT_US20030022973A1,5B,2.2,free_NCO_label_explicit,15400,120,M10_VISC120,9.8,30.0,M10_OPEN,Table 10,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_6B,PAT_US20030022973A1,6B,2.4,free_NCO_label_explicit,14500,120,M10_VISC120,6.0,30.0,M10_OPEN,Table 10,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_7B,PAT_US20030022973A1,7B,2.7,free_NCO_label_explicit,10500,120,M10_VISC120,6.9,40.0,M10_OPEN,Table 10,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_10A,PAT_US20030022973A1,10A,2.3,NCO_label_only_method_unspecified,9000,121.111,M10_VISC120,5.0,,,Table 11,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_10B,PAT_US20030022973A1,10B,2.0,NCO_label_only_method_unspecified,8875,121.111,M10_VISC120,6.5,,,Table 11,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_10C,PAT_US20030022973A1,10C,2.3,NCO_label_only_method_unspecified,1820,121.111,M10_VISC120,9.5,,,Table 11,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_10D,PAT_US20030022973A1,10D,2.5,NCO_label_only_method_unspecified,1360,121.111,M10_VISC120,7.2,,,Table 11,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
US2003_PROP_10E,PAT_US20030022973A1,10E,1.9,NCO_label_only_method_unspecified,600,121.111,M10_VISC120,15.0,,,Table 11,No NCO assay method is disclosed in the example tables; do not reinterpret as titrated free NCO when the table only says NCO.
